,Entity,Year,Annual CO₂ emissions (tonnes )
1674,Australia,2016,413369923.0
3095,Brazil,2016,473741376.0
3861,Canada,2016,558188999.7
4483,China,2016,9704479432.0
7441,France,2016,350104687.1
7981,Germany,2016,801753007.7
9458,India,2016,2377447863.0
9587,Indonesia,2016,464856818.4
9969,Iran,2016,637562152.6
10416,Italy,2016,350323014.9
10634,Japan,2016,1204318623.0
12441,Mexico,2016,504979947.8
15693,Russia,2016,1668069933.0
16247,Saudi Arabia,2016,631549206.5
16991,South Africa,2016,468045403.7
17064,South Korea,2016,595073678.8
19091,Turkey,2016,402820783.8
19659,United Kingdom,2016,398550884.1
19926,United States,2016,5310861406.0
20618,World,2016,35675099439.0
